Language	Chapter	Number	Text
SPA	10031	9	"La clave no conviene para el certificado"
XXX	10031	9	"3000B6DCEC7EAFB52E49AB019890109D20314DF3"
BRI	10031	10	"==="
CHI	10031	10	"该资源已被删除"
ENG	10031	10	"Resource has been deleted"
FRA	10031	10	"La ressource a été supprimée"
GER	10031	10	"Quelle wurde gelöscht"
POR	10031	10	"O recurso foi eliminado"
SPA	10031	10	"El recurso se ha borrado"
XXX	10031	10	"004CE00D54059D17AB729433D365FD90F24AB316"
BRI	10031	11	"==="
CHI	10031	11	"已应用这些修改项"
ENG	10031	11	"Modifications have been applied"
FRA	10031	11	"Les modifications ont été appliquées"
GER	10031	11	"Änderungen wurden vorgenommen"
POR	10031	11	"As alterações foram aplicadas"
SPA	10031	11	"Las modificaciones se han aplicado"
XXX	10031	11	"FBA98E6EA774AABBBDA1228005A3E8F9D06F36CD"
BRI	10031	12	"==="
CHI	10031	12	"excelDatasources实体的未知操{0}"
ENG	10031	12	"Operation unknown {0} for entity excelDatasources"
FRA	10031	12	"Opération inconnue {0} pour l'entité excelDatasources"
GER	10031	12	"Unbekannte Aktion {0} für Entität excelDatasources"
POR	10031	12	"Operação desconhecida {0} para entidade excelDatasources"
SPA	10031	12	"Operación desconocida {0} para la entitdad excelDatasources"
XXX	10031	12	"57A278F3C868F93CA3C237120353B6B172C5848D"
BRI	10031	13	"==="
CHI	10031	13	""{0}"是"{3}"上"{2}"的一个表示法"{1}""
ENG	10031	13	""{0}" is a representation "{1}" of "{2}" on "{3}""
FRA	10031	13	""{0}" est une représentation "{1}" de "{2}" sur "{3}""
GER	10031	13	"{0}" ist eine Repräsentation "{1}" von "{2}" in "{3}""
POR	10031	13	""{0}" é uma representação "{1}" de "{2}" em "{3}""
SPA	10031	13	""{0}" es una representación "{1}" de "{2}" sobre "{3}""
XXX	10031	13	"93C7C81F5CEC41FFC81CD791E020804FED4C53B9"
BRI	10031	14	"==="
CHI	10031	14	"点击此处下载Sage X3的Excel插件"
ENG	10031	14	"Click here to download Sage X3 for Excel add-in·"
FRA	10031	14	"Cliquer ici pour télécharger Sage X3 pour l'add-in Excel"
GER	10031	14	"Das Sage X3 für Excel Add-in können Sie hier herunterladen"
POR	10031	14	"Clique aqui para carregar o Sage ERP X3 add-in para Excel"
SPA	10031	14	"Haga clic aqui para descargar Sage X3 para el add-in Excel"
XXX	10031	14	"712161CFC2831C0FF449945C3D8865DD67771A43"
BRI	10031	15	"==="
CHI	10031	15	"该工作表需要安装一个插件。请点击此链接来下载适用于Excel的Sage X3"
ENG	10031	15	"This worksheet requires an add-in installation. Please follow this link to download Sage X3 for Excel·"
FRA	10031	15	"Cette feuille de calcul nécessite l'installation d'un add-in. Suivre ce lien pour télécharger Sage X3 pour Excel"
GER	10031	15	"Dieses Arbeitsblatt erfordert eine Add-in-Installation. Folgen Sie bitte diesem Link, um Sage X3 für Excel herunterzuladen."
POR	10031	15	"Esta folha de cálculo requer a instalação de um add-in. Siga este link para fazer o download"
SPA	10031	15	"Esta hoja de cálculo necesita la instalación de un add-in. Seguir este enlace para descargar Sage X3 para Excel"
XXX	10031	15	"80B4CCE4E11F519A1CE303A0E7F74763A72E6465"
BRI	10031	16	"==="
CHI	10031	16	"欢迎{user}访问"
ENG	10031	16	"Welcome {user}"
FRA	10031	16	"Bienvenue {user}"
GER	10031	16	"Willkommen {user}"
POR	10031	16	"Bem-vindo {user}"
SPA	10031	16	"Bienvenido {user}"
XXX	10031	16	"934E25C31C771F34D8CD93EFCAA2D1C15D61DEF3"
BRI	10031	17	"==="
CHI	10031	17	"您的登录身份是"
ENG	10031	17	"You are logged as"
FRA	10031	17	"Vous êtes identifié comme"
GER	10031	17	"Sie sind eingeloggt als"
POR	10031	17	"Está logado como"
SPA	10031	17	"Está identificado como"
XXX	10031	17	"01F406E8C8074154EF88EAD5EC028F4E6F150920"
BRI	10031	18	"==="
CHI	10031	18	"您的本地化设置是"
ENG	10031	18	"Your locale setting is"
FRA	10031	18	"Votre paramètre régional est"
GER	10031	18	"Ihre lokalen Einstellungen sind"
POR	10031	18	"O seu parâmetro regional é"
SPA	10031	18	"Su parámetro regional es"
XXX	10031	18	"9FF4E416DA10945FFA09D6130D4D90138AB86AB5"
BRI	10031	19	"==="
CHI	10031	19	"您当前的服务是"
ENG	10031	19	"Your current service is"
FRA	10031	19	"Votre service actuel est"
GER	10031	19	"Ihr aktueller Service ist"
POR	10031	19	"O seu serviço atual é"
SPA	10031	19	"Su servicio actual es"
XXX	10031	19	"ABA007484B3A77D557BC85E913DD9B096F71D244"
BRI	10031	20	"==="
CHI	10031	20	"欢迎{user}访问"
ENG	10031	20	"Welcome {user}"
FRA	10031	20	"Bienvenue {user}"
GER	10031	20	"Willkommen {user}"
POR	10031	20	"Bem-vindo {user}"
SPA	10031	20	"Bienvenido {user}"
XXX	10031	20	"BEF93023D386B0BC4D6B0AB7DE2DD3F46D5C525E"
BRI	10031	21	"==="
CHI	10031	21	"您的登录身份是"
ENG	10031	21	"You are logged as"
FRA	10031	21	"Vous êtes connecté en tant que"
GER	10031	21	"Sie sind eingeloggt als"
POR	10031	21	"Está ligado como"
SPA	10031	21	"Está conectado como"
XXX	10031	21	"F9FD012861A06E2969FD881F5DF39AE517227158"
BRI	10031	22	"==="
CHI	10031	22	"您的本地化设置是"
ENG	10031	22	"Your locale setting is"
FRA	10031	22	"Vos paramètres régionaux sont"
GER	10031	22	"Ihre lokalen Einstellungen sind"
POR	10031	22	"Os seus parâmetro regional são"
SPA	10031	22	"Sus parámetros regionales son"
XXX	10031	22	"1D02D89BEC8921DC88EBF67CAB83EE2413F73101"
BRI	10031	23	"==="
CHI	10031	23	"欢迎{user}访问"
ENG	10031	23	"Welcome {user}"
FRA	10031	23	"Bienvenue {user}"
GER	10031	23	"Willkommen {user}"
POR	10031	23	"Bem-vindo {user}"
SPA	10031	23	"Bienvenido {user}"
XXX	10031	23	"A3684AC5F833631FBB7221E88FC8AEEDC921E4B5"
BRI	10031	24	"==="
CHI	10031	24	"您的登录身份是"
ENG	10031	24	"You are logged as"
FRA	10031	24	"Vous êtes identifié comme"
GER	10031	24	"Sie sind eingeloggt als"
POR	10031	24	"Está logado como"
SPA	10031	24	"Está identificado como"
XXX	10031	24	"724C155EF379F536FF8005C0D21FBABD41F2365A"
BRI	10031	25	"==="
CHI	10031	25	"您的本地化设置是"
ENG	10031	25	"Your locale setting is"
FRA	10031	25	"Votre paramètre régional est"
GER	10031	25	"Ihre lokalen Einstellungen sind"
POR	10031	25	"Os seus parâmetro regional são"
SPA	10031	25	"Su parámetro regional es"
XXX	10031	25	"8A18980E833DBE4C471D4CE95006109059E5502B"
BRI	10031	26	"==="
CHI	10031	26	"您当前的服务是"
ENG	10031	26	"Your current service is"
FRA	10031	26	"Votre service actuel est"
GER	10031	26	"Ihr aktueller Service ist"
POR	10031	26	"O seu serviço atual é"
SPA	10031	26	"Su servicio actual es"
XXX	10031	26	"D7FEE88723AD8182FD196B8207E2A5628C347AAC"
BRI	10031	27	"==="
CHI	10031	27	"无许可证"
ENG	10031	27	"No license"
FRA	10031	27	"Aucune licence"
GER	10031	27	"Keine Lizenz"
POR	10031	27	"Nenhuma licença"
SPA	10031	27	"Ninguna licencia"
XXX	10031	27	"1156FCE02DB5FE69F833B5008B7AF11B755FA899"
BRI	10031	28	"==="
CHI	10031	28	"需要授权"
ENG	10031	28	"Authorization required"
FRA	10031	28	"Autorisation requise"
GER	10031	28	"Berechtigung erforderlich"
POR	10031	28	"Autorização Obrigatória"
SPA	10031	28	"Autorización requerida"
XXX	10031	28	"6CD3B3B8F990EAF5FA1B6F4C2F2B654504169EDA"
BRI	10031	29	"==="
CHI	10031	29	"如果不点击{0}此处{1}，您将在{2}秒内自动跳转至起始页。"
ENG	10031	29	"This page will automatically redirect to the start page in {2} seconds, if not click {0}here{1}."
FRA	10031	29	"Vous allez être automatiquement redirigé sur la page de démarrage dans {2} sec., si tel n'est pas le cas cliquer {0}ici{1}."
GER	10031	29	"Sollten Sie nicht innerhalb von {2} Sekunden zur Startseite weitergeleitet werden, klicken Sie {0}hier{1}."
POR	10031	29	"Será redirecionado automaticamente para a página inicial em {2} seg.. Caso não aconteça, por favor, clique {0} aqui {1}."
SPA	10031	29	"Se le va a reenviar automáticamente a la página de arranque en {2} seg., sino haga clic {0} aquí {1}."
XXX	10031	29	"E8037E65E4730F5B9969769B6ECC89C85C78CBE9"
BRI	10031	30	"==="
CHI	10031	30	"用户{0}未激活"
ENG	10031	30	"User {0} inactive"
FRA	10031	30	"L'utilisateur {0} est inactif"
GER	10031	30	"Benutzer {0} nicht aktiv"
POR	10031	30	"utilizador {0} está inativo"
SPA	10031	30	"El usuario {0} está inactivo"
XXX	10031	30	"10F3A33C5FA7BEE013B2F8B87C6540618F69927D"
BRI	10031	31	"==="
CHI	10031	31	"用户'{0}'的新密码"
ENG	10031	31	"New password for user '{0}'"
FRA	10031	31	"Nouveau mot de passe pour l'utilisateur '{0}'"
GER	10031	31	"Neues Passwort für Benutzer '{0}'"
POR	10031	31	"Nova senha para o utilizador '{0}'"
SPA	10031	31	"Nueva contraseña para el usuario '{0}'"
XXX	10031	31	"9B7FD12886615AA06D9F96EA17407253548A8947"
BRI	10031	32	"==="
CHI	10031	32	"设置一个新密码"
ENG	10031	32	"Set new password"
FRA	10031	32	"Définir un nouveau mot de passe"
GER	10031	32	"Neues Passwort festlegen"
POR	10031	32	"Definir uma nova senha"
SPA	10031	32	"Definir una nueva contraseña"
XXX	10031	32	"D704A392FDAC1097887A7D0453C4A9E0DA5BFD87"
BRI	10031	33	"==="
CHI	10031	33	"密码是不正确"
ENG	10031	33	"Passwords do not match"
FRA	10031	33	"Les mots de passe sont incorrects"
GER	10031	33	"Passwörter stimmen nicht überein"
POR	10031	33	"As senhas estão incorretas"
SPA	10031	33	"Las contraseñas son incorrectas"
XXX	10031	33	"B02A0FCFA2679D4BEC21B6513870FA56825AB89A"
BRI	10031	34	"==="
CHI	10031	34	"新密码："
ENG	10031	34	"New password:·"
FRA	10031	34	"Nouveau mot de passe :·"
GER	10031	34	"Neues Passwort:"
POR	10031	34	"Nova senha:"
SPA	10031	34	"Nueva contraseña :·"
XXX	10031	34	"8C6B21ECF3156A6DCF4EE3177E93799D48AA8EF5"
BRI	10031	35	"==="
CHI	10031	35	"系统管理员要求您设置一个新密码"
ENG	10031	35	"The administrator has requested you to set a new password"
FRA	10031	35	"Il vous a été demandé par l'administrateur de définir un nouveau mot de passe"
GER	10031	35	"Der Administrator fordert Sie dazu auf, ein neues Passwort festzulegen"
POR	10031	35	"Foi solicitado pelo administrador para definir uma nova senha"
SPA	10031	35	"El administrador le ha solicitado definir una nueva contraseña"
XXX	10031	35	"5B6E38E96F2C75A48933843B979DE6706EBB658B"
BRI	10031	36	"==="
CHI	10031	36	"重新输入新密码："
ENG	10031	36	"Retype new password:·"
FRA	10031	36	"Retaper le nouveau mot de passe :·"
GER	10031	36	"Neues Passwort erneut eingeben"
POR	10031	36	"Re-digite a nova senha:·"
SPA	10031	36	"Vuelva a escribir la nueva contraseña :·"
XXX	10031	36	"DB50C710BF6DBF13F33AD8E2104BCA9590E7E7B7"
BRI	10031	37	"==="
CHI	10031	37	"重新输入新密码："
ENG	10031	37	"Empty password is not allowed"
FRA	10031	37	"Mot de passe vide non autorisé"
GER	10031	37	"Leeres Passwort ist nicht erlaubt"
POR	10031	37	"Senha em branco não autorizada"
SPA	10031	37	"Contraseña vacía no autorizada"
XXX	10031	37	"05D3ECDC43ABB3915E754A701B9B8F19809635B0"
BRI	10031	38	"==="
CHI	10031	38	"无许可证"
ENG	10031	38	"No license"
FRA	10031	38	"Aucune licence"
GER	10031	38	"Keine Lizenz"
POR	10031	38	"Nenhuma licença"
SPA	10031	38	"Ninguna licencia"
XXX	10031	38	"DBB50C0D4993EFCE740942CA0C7FD9EA4DDF2427"
BRI	10031	39	"==="
CHI	10031	39	"需要授权"
ENG	10031	39	"Authorization required"
FRA	10031	39	"Autorisation requise"
GER	10031	39	"Berechtigung erforderlich"
POR	10031	39	"Autorização Obrigatória"
SPA	10031	39	"Autorización requerida"
XXX	10031	39	"28217F1C775D425684353283C12501494F107384"
BRI	10031	40	"==="
CHI	10031	40	"如果不点击{0}此处{1}，您将在{2}秒内自动跳转至起始页。"
ENG	10031	40	"This page will automatically redirect to the start page in {2} seconds, if not click {0}here{1}."
FRA	10031	40	"Vous allez être automatiquement redirigé sur la page de démarrage dans {2} sec., si tel n'est pas le cas cliquer {0}ici{1}."
GER	10031	40	"Sollten Sie nicht innerhalb von {2} Sekunden zur Startseite weitergeleitet werden, klicken Sie {0}hier{1}."
POR	10031	40	"Será redirecionado automaticamente para a página inicial em {2} seg., Caso não aconteça, clique {0} aqui {1}."
SPA	10031	40	"Va a ser automáticamente redirigido a la página de arranque en {2} seg., sino haga clic {0}aqui{1}."
XXX	10031	40	"722D9E52096271D3E6A6EC62BBA8B182F9F5F157"
BRI	10031	41	"==="
CHI	10031	41	"用户{0}未激活"
ENG	10031	41	"User {0} inactive"
FRA	10031	41	"L'utilisateur {0} est inactif"
GER	10031	41	"Benutzer {0} nicht aktiv"
POR	10031	41	"utilizador {0} está inativo"
SPA	10031	41	"El usuario {0} está inactivo"
XXX	10031	41	"EF1A7766BA4CEA5B148C09CFAF1D137126BE7B25"
BRI	10031	42	"==="
CHI	10031	42	"已执行取消操"
ENG	10031	42	"Undo operation has been executed"
FRA	10031	42	"L'opération d'annulation a été exécutée"
GER	10031	42	"Aktion rückgängig wurde ausgeführt"
POR	10031	42	"A operação de anulação foi executada"
SPA	10031	42	"La operación de cancelación se ha ejecutado"
XXX	10031	42	"6E3C7106E1C99238BE402102256CD813EC7692B0"
BRI	10031	43	"==="
CHI	10031	43	"直接下载"
ENG	10031	43	"Direct download"
FRA	10031	43	"Téléchargement direct"
GER	10031	43	"Direkter Download"
POR	10031	43	"Download Direto"
SPA	10031	43	"Descarga directa"
XXX	10031	43	"2D29477231537CBEB3E3EFEFE632E27EAFD32B3F"
BRI	10031	44	"==="
CHI	10031	44	"服务器文件"
ENG	10031	44	"Server file"
FRA	10031	44	"Fichier serveur"
GER	10031	44	"Serverdatei"
POR	10031	44	"Ficheiro servidor"
SPA	10031	44	"Fichero servidor"
XXX	10031	44	"1076B78F7C4C6DABEA3C68C0AD1EC2B04D377C1A"
BRI	10031	45	"==="
CHI	10031	45	"协同空间"
ENG	10031	45	"Collaboration area"
FRA	10031	45	"Espace de collaboration"
GER	10031	45	"Collaboration-Bereich"
POR	10031	45	"Espaço de colaboração"
SPA	10031	45	"Espacio de colaboración"
XXX	10031	45	"89250BEBEE52C0755D029A4D01322E22069153D0"
BRI	10031	46	"==="
CHI	10031	46	"直接传输至一个友好服务器"
ENG	10031	46	"Friend server direct transfer"
FRA	10031	46	"Transfert direct à un serveur ami"
GER	10031	46	"Direkter Transfer Friendserver"
POR	10031	46	"Transferência direta para um servidor amigo"
SPA	10031	46	"Transferencia directa a un servidor amigo"
XXX	10031	46	"06C61D5DF7C571431BB1220543D3639D14F262AC"
BRI	10031	47	"==="
CHI	10031	47	"端点必填"
ENG	10031	47	"Endpoint is mandatory"
FRA	10031	47	"Endpoint obligatoire"
GER	10031	47	"Endpoint erforderlich"
POR	10031	47	"Endpoint Obrigatório·"
SPA	10031	47	"Endpoint obligatorio"
XXX	10031	47	"EC33C415E6A11EF45D256234B52EBBD4046F7C9F"
BRI	10031	48	"==="
CHI	10031	48	"集合{0}不存在"
ENG	10031	48	"Collection {0} does not exist"
FRA	10031	48	"La collection {0} n’existe pas"
GER	10031	48	"Die Kollektion {0} ist nicht vorhanden"
ITA	10031	48	"La collection {0} n’existe pas"
POL	10031	48	"La collection {0} n’existe pas"
POR	10031	48	"A coleção {0} não existe"
RUS	10031	48	"La collection {0} n’existe pas"
SPA	10031	48	"Colección {0} no existe"
XXX	10031	48	"6817FBAE06D04DB8EF4C04530FDE5B11739D9FAA"
BRI	10031	49	"==="
CHI	10031	49	"导出自定义项"
ENG	10031	49	"Personalizations export"
FRA	10031	49	"Export des personnalisations"
GER	10031	49	"Export Personalisierungen"
POR	10031	49	"Personalizações de exportação"
SPA	10031	49	"Exportación de personalizaciones"
XXX	10031	49	"BCA37ACA7E59B448C39BBBA525DB2AEBB99B4091"
BRI	10031	50	"==="
CHI	10031	50	"已在计划程序"{0}"上创建任务"
ENG	10031	50	"Task created on scheduler "{0}""
FRA	10031	50	"Tâche créée sur le programmateur "{0}""
GER	10031	50	"Aufgabe im Planer "{0}" erstellt"
POR	10031	50	"Tarefa criada no programador "{0}""
SPA	10031	50	"Tarea creada en el programador "{0}""
XXX	10031	50	"78BE6ECAC5062765DED10C065DC81318BF5188B7"
BRI	10031	51	"==="
CHI	10031	51	"错误值：'{0}'"
ENG	10031	51	"Invalid value: '{0}'"
FRA	10031	51	"Valeur incorrecte : '{0}'"
GER	10031	51	"Ungültiger Wert: '{0}'"
POR	10031	51	"Valor incorreto: '{0}'"
SPA	10031	51	"Valor incorrecto : '{0}'"
XXX	10031	51	"02C4989068D6DB76BC833D1386A8D3D4065F886E"
BRI	10031	52	"==="
CHI	10031	52	"错误值：'{0}'"
ENG	10031	52	"Invalid value: '{0}'"
FRA	10031	52	"Valeur incorrecte : '{0}'"
GER	10031	52	"Ungültiger Wert: '{0}'"
POR	10031	52	"Valor incorreto: '{0}'"
SPA	10031	52	"Valor incorrecto : '{0}'"
XXX	10031	52	"C2D2B5C83181F0A16A3B479453E03FE93052677E"
BRI	10031	53	"==="
CHI	10031	53	"当前变量为此页交付的变量"
ENG	10031	53	"Current variant is the factory variant of this page"
FRA	10031	53	"La variante actuelle est la variante livrée de cette page"
GER	10031	53	"Aktuelle Seite ist die Factory-Variante dieser Seite"
POR	10031	53	"A versão atual é a versão entregue esta página"
SPA	10031	53	"La variante actual es la variante entregada de esta página"
XXX	10031	53	"B589C9C482316982E192D2BEA7CE866747F13478"
BRI	10031	54	"==="
CHI	10031	54	"有一个为此页交付的变量"
ENG	10031	54	"There is a factory variant for this page"
FRA	10031	54	"Il existe une variante livrée pour cette page"
GER	10031	54	"Es gibt eine Factory-Variante für diese Seite"
POR	10031	54	"Existe uma versão entregue para esta página"
SPA	10031	54	"Existe una variante entregada para esta página"
XXX	10031	54	"FD702E72F7962723C02C5A8DF8BDFFEAB69BF454"
BRI	10031	55	"==="
CHI	10031	55	"交付的"
ENG	10031	55	"Factory"
FRA	10031	55	"Livrée"
GER	10031	55	"==="
POR	10031	55	"Entregue"
SPA	10031	55	"Entregada"
XXX	10031	55	"6845D071F58476E51026DB2E0BD7FBCEF5C7C706"
BRI	10031	56	"==="
CHI	10031	56	"所有交易的模板"
ENG	10031	56	"Model for all transactions"
FRA	10031	56	"Modèle pour toutes les transactions"
GER	10031	56	"Modell für alle Transaktionen"
POR	10031	56	"Modelo para todas as transações"
SPA	10031	56	"Modelo para todas las transacciones"
XXX	10031	56	"00065EE128C3E4EB34A0A2DBA6399A52093B3196"
BRI	10031	57	"==="
CHI	10031	57	"全局的"
ENG	10031	57	"Global"
FRA	10031	57	"Globale"
GER	10031	57	"==="
POR	10031	57	"==="
SPA	10031	57	"==="
XXX	10031	57	"B1668F88AC390D8F2B59E8D0872F47FCC9AE1B48"
BRI	10031	58	"==="
CHI	10031	58	"私有的"
ENG	10031	58	"Personal"
FRA	10031	58	"Personnelle"
GER	10031	58	"Persönlich"
POR	10031	58	"Pessoal"
SPA	10031	58	"==="
XXX	10031	58	"4515284BA4411BFE7A97EBC050C5EFF79CE2180C"
BRI	10031	59	"==="
CHI	10031	59	"分享给"
ENG	10031	59	"Shared with"
FRA	10031	59	"Partagée avec"
GER	10031	59	"Geteilt mit"
POR	10031	59	"Compartilhado com"
SPA	10031	59	"Compartida con"
XXX	10031	59	"506D06D54EC8E49795DF6B046E9E158047CB8EA8"
BRI	10031	60	"==="
CHI	10031	60	"默认"
ENG	10031	60	"DEFAULT"
FRA	10031	60	"DEFAUT"
GER	10031	60	"==="
POR	10031	60	"DEFEITO"
SPA	10031	60	"DEFECTO"
XXX	10031	60	"B7418412A894A9CA70D4A7BC658882C5049EFE99"
BRI	10031	61	"==="
CHI	10031	61	"默认"
ENG	10031	61	"DEFAULT"
FRA	10031	61	"DEFAUT"
GER	10031	61	"==="
POR	10031	61	"DEFEITO"
SPA	10031	61	"DEFECTO"
XXX	10031	61	"DD4EB1A7468D8A8B8BFFC1FB1CF472D0007B86EC"
BRI	10031	62	"==="
CHI	10031	62	"默认"
ENG	10031	62	"DEFAULT"
FRA	10031	62	"DEFAUT"
GER	10031	62	"==="
POR	10031	62	"DEFEITO"
SPA	10031	62	"DEFECTO"
XXX	10031	62	"27B2D6EEC9FED3A162A69BA592A9679E1E17D687"
BRI	10031	63	"==="
CHI	10031	63	"模板"
ENG	10031	63	"MODEL"
FRA	10031	63	"MODELE"
GER	10031	63	"==="
POR	10031	63	"MODELO"
SPA	10031	63	"MODELO"
XXX	10031	63	"8BD33EB68AB3172270BDD3F4A37A2C8F4970B3CD"
BRI	10031	64	"==="
CHI	10031	64	"模板"
ENG	10031	64	"MODEL"
FRA	10031	64	"MODELE"
GER	10031	64	"==="
POR	10031	64	"MODELO"
SPA	10031	64	"MODELO"
XXX	10031	64	"457A92773CA10E10257A92BAEC7CD4CE0E2E149C"
BRI	10031	65	"==="
CHI	10031	65	"模板"
ENG	10031	65	"MODEL"
FRA	10031	65	"MODELE"
GER	10031	65	"==="
POR	10031	65	"MODELO"
SPA	10031	65	"MODELO"
XXX	10031	65	"B3E6AB944DE89757CA5522D7B6113E34806CE50D"
BRI	10031	66	"==="
CHI	10031	66	"您将保存交付的变量。要继续吗？"
ENG	10031	66	"You are about to save the factory variant. Do you want to continue ?"
FRA	10031	66	"Vous êtes sur le point d'enregistrer la variante livrée. Continuer ?"
GER	10031	66	"Sie sind dabei, die Factory-Variante zu speichern. Möchten Sie fortfahren?"
POR	10031	66	"Está prestes a gravar a versão entregue. Continuar?"
SPA	10031	66	"Se va a actualizar la variable entregada. ¿Desea continuar?"
XXX	10031	66	"C3EDBB4AE894570B5C471D3D2E6319720DF4B2D5"
BRI	10031	67	"==="
CHI	10031	67	"符号"{0} "不允许出现在控制面板名称中"
ENG	10031	67	"The symbol "{0}" is not allowed in the dashboard name"
FRA	10031	67	"Le symbole "{0}" n'est pas autorisé dans le nom du tableau de bord"
GER	10031	67	"Das Symbol "{0}" ist im Dashboard-Name nicht zulässig"
POR	10031	67	"O símbolo "{0}" não é permitido no nome do painel de instrumentos"
SPA	10031	67	"El  símbolo "{0}" no está autorizado en el nombre del dashboard"
XXX	10031	67	"264BCC22EB691B66025C326A64654E79D242F7D3"
BRI	10031	68	"==="
CHI	10031	68	"没有任何移动应用程序，请联系管理员"
ENG	10031	68	"No mobile application, please contact your administrator"
FRA	10031	68	"Aucune application mobile, contacter l'administrateur"
GER	10031	68	"Keine mobile Anwendung, bitte wenden Sie sich an Ihren Administrator"
POR	10031	68	"Nenhum aplicativo móvel, entre em contato"
SPA	10031	68	"Ninguna aplicación móvil, contacte con su administrador"
XXX	10031	68	"B2E46FC84F82EB616AE61B186EE456741CA9C506"
BRI	10031	69	"==="
CHI	10031	69	"未定义任何端点，请联系管理员"
ENG	10031	69	"No endpoints defined, please contact your administrator"
FRA	10031	69	"Aucun endpoint défini, contacter l'administrateur"
GER	10031	69	"Keine Endpoints definiert, bitte wenden Sie sich an Ihren Administrator"
