Language	Chapter	Number	Text
POR	10044	71	"Guardar documento"
SPA	10044	71	"Guardar el documento"
XXX	10044	71	"01AC858F00839CC1268014B14F1BA2B48DB0CF7E"
BRI	10044	72	"Sage ERP X3"
ENG	10044	72	"Sage ERP X3"
FRA	10044	72	"Sage ERP X3"
GER	10044	72	"Sage ERP X3"
SPA	10044	72	"Sage ERP X3"
XXX	10044	72	"939FC19C026AC85764107E08F1C9E0A3BBC24A55"
BRI	10044	73	"Update Add-in"
ENG	10044	73	"Update Add-in"
FRA	10044	73	"Actualiser l'Add-in"
GER	10044	73	"Aktualsiere Add-In"
POR	10044	73	"Atualizar Add-in"
SPA	10044	73	"Actualizar el Add-in"
XXX	10044	73	"CDC5BD2DC64E9A98DCD45BD96670CBF171E3514F"
BRI	10044	74	"Refresh all charts linked to Sage ERP X3"
ENG	10044	74	"Refresh all charts linked to Sage ERP X3"
FRA	10044	74	"Actualiser tous les graphiques associés à Sage ERP X3"
GER	10044	74	"Allen Folien mit Sage ERP X3 aktualisieren"
POR	10044	74	"Atualizar todos os gráficos associados ao Sage ERP X3"
SPA	10044	74	"Actualizar todos los gráficos asociados a Sage ERP X3"
XXX	10044	74	"E227009F6B5BD48ACC334CCC6D23FD97F8054C02"
BRI	10044	75	"Refresh charts linked to Sage ERP X3 on active slide"
ENG	10044	75	"Refresh charts linked to Sage ERP X3 on active slide"
FRA	10044	75	"Actualiser les graphiques associés à l'ERP X3 sur la diapositive courante"
GER	10044	75	"Grafiken der aktuellen Folie mit Sage ERP X3 aktualsieren"
POR	10044	75	"Atualizar os gráficos associados ao ERP X3 no diapositivo corrente"
SPA	10044	75	"Actuallizar los gráficos asociados a SAGE ERP X3 en la diapositiva actual"
XXX	10044	75	"D7E159A482943DBDFEC63B4535D6E8FEDF5F8D08"
BRI	10044	76	"http://localhost:8124"
ENG	10044	76	"http://localhost:8124"
FRA	10044	76	"http://localhost:8124"
GER	10044	76	"http://localhost:8124"
SPA	10044	76	"http://localhost:8124"
XXX	10044	76	"92F250FBAE69DD74F8AFECAF1D86CF507B1619A1"
BRI	10044	77	"Server location:"
ENG	10044	77	"Server location:"
FRA	10044	77	"Emplacement serveur :"
GER	10044	77	"Server-URL:"
POR	10044	77	"Localização servidor:"
SPA	10044	77	"Ubicación servidor:"
XXX	10044	77	"FD9E477149E404F9F33E2D10DE4CB9B0852C13B8"
BRI	10044	78	"Ok"
ENG	10044	78	"OK"
FRA	10044	78	"OK"
GER	10044	78	"Ok"
POR	10044	78	"OK"
SPA	10044	78	"OK"
XXX	10044	78	"2CAA7E098E7B0302B67124A43EE7EEFEB6DF12B5"
BRI	10044	79	"Cancel"
ENG	10044	79	"Cancel"
FRA	10044	79	"Annuler"
GER	10044	79	"Abbrechen"
POR	10044	79	"Anular"
SPA	10044	79	"Cancelar"
XXX	10044	79	"E1C17F3E7E7BC5E64E3808CB38EA5F1972FAC3D2"
BRI	10044	80	"If you do not know this information, please contact your system administrator."
ENG	10044	80	"If you do not know this information, contact your system administrator."
FRA	10044	80	"Si vous ne connaissez pas ces informations, veuillez contacter votre administrateur système."
GER	10044	80	"Falls Ihnen diese Informationen nicht bekannt sind fragen Sie bitte Ihren Systemadministrator."
POR	10044	80	"Se não conhecer esta informação, deve contactar o administrador de sistemas."
SPA	10044	80	"Si no conoce esta información, contacte con su administrador de sistema."
XXX	10044	80	"F4BC0248CC2E38F49455E1EC13057CCF4F257EE3"
BRI	10044	81	"Please enter the server URL in the form http(s)://servername:port."
ENG	10044	81	"Enter the server URL as http(s)://servername:port."
FRA	10044	81	"Veuillez saisir l'URL du serveur sous la forme http(s)://nomserveur:port."
GER	10044	81	"Bitte geben Sie die Server-URL in der Form http(s)://servername:port ein."
POR	10044	81	"Deve registar o URL sob a forma http(s)://servername:port."
SPA	10044	81	"Introduzca la URL del servidor con el formato http(s)://nombreserver:port."
XXX	10044	81	"28D6F8DCCB09F523AB04A40CFF2AA950F744362F"
BRI	10044	82	"Sage ERP X3 - Server settings"
ENG	10044	82	"Sage ERP X3 - Server settings"
FRA	10044	82	"Sage ERP X3 - Paramétrage serveur"
GER	10044	82	"Sage ERP X3 - Server Einstellungen"
POR	10044	82	"Sage ERP X3 - Configurar servidor"
SPA	10044	82	"Sage ERP X3 - Parametrización servidor"
XXX	10044	82	"BD5A6F2D7A699864833398424768DC4AA1C6D36F"
BRI	10044	83	"Save"
ENG	10044	83	"Save"
FRA	10044	83	"Enregistrer"
GER	10044	83	"Speichern"
POR	10044	83	"Guardar"
SPA	10044	83	"Guardar"
XXX	10044	83	"F7DFCD29E89553B17B53AA849B3CC7252B73B1B1"
BRI	10044	84	"Save as..."
ENG	10044	84	"Save as..."
FRA	10044	84	"Enregistrer sous..."
GER	10044	84	"Speichern unter"
POR	10044	84	"Guardar como..."
SPA	10044	84	"Guardar como..."
XXX	10044	84	"56F014626A73564FFD22AB1FE264260B1768042E"
BRI	10044	85	"Save document"
ENG	10044	85	"Save document"
FRA	10044	85	"Enregistrer le document"
GER	10044	85	"Dokument speichern"
POR	10044	85	"Guardar o documento"
SPA	10044	85	"Guardar el documento"
XXX	10044	85	"7E80BE20B1183C521B9D1C9D982AEED6D5C7F2BC"
BRI	10044	86	"Refresh"
ENG	10044	86	"Refresh"
FRA	10044	86	"Actualiser"
GER	10044	86	"Aktualisieren"
POR	10044	86	"Atualizar"
SPA	10044	86	"Actualizar"
XXX	10044	86	"AA2769B8DCF6AB2AFA44BC18A91FE2C904FF9010"
BRI	10044	87	"Preview"
ENG	10044	87	"Preview"
FRA	10044	87	"Aperçu"
GER	10044	87	"Vorschau"
POR	10044	87	"Pré-visualizar"
SPA	10044	87	"Vista previa"
XXX	10044	87	"C96EAFA4E278FFDA91C07B2B1A6F4055606BB2AD"
BRI	10044	88	"Show fields"
ENG	10044	88	"Show fields"
FRA	10044	88	"Afficher les champs"
GER	10044	88	"Zeige Felder"
POR	10044	88	"Mostrar os campos"
SPA	10044	88	"Visualizar los campos"
XXX	10044	88	"78404BD6D7E2F0E824CC81ACCD7EB3F82D838319"
BRI	10044	89	"Calculate sum"
ENG	10044	89	"Calculate sum"
FRA	10044	89	"Calculer la somme"
GER	10044	89	"Summe"
POR	10044	89	"Calcular a soma"
SPA	10044	89	"Calcular la suma"
XXX	10044	89	"EE93E54E85511A73D8E58C94FAC02E9FD877C58C"
BRI	10044	90	"Reporting"
ENG	10044	90	"Reporting"
FRA	10044	90	"Reporting"
